2021-03-02 09:36:05 |INFO  |main |StartupInfoLogger.java:55 |com.river.site.SiteApplication |Starting SiteApplication on DESKTOP-AFTLI5O with PID 7056 (D:\river-boot\rivert-site.jar_release\rivert-site-api.jar started by DESKTOP-AFTLI5O$ in D:\river-boot\rivert-site.jar_release)
2021-03-02 09:36:05 |INFO  |main |SpringApplication.java:655 |com.river.site.SiteApplication |The following profiles are active: dev
2021-03-02 09:36:18 |INFO  |main |AutoProxyRegistrar.java:83 |org.springframework.context.annotation.AutoProxyRegistrar |AutoProxyRegistrar was imported but no annotations were found having both 'mode' and 'proxyTargetClass' attributes of type AdviceMode and boolean respectively. This means that auto proxy creator registration and configuration may not have occurred as intended, and components may not be proxied as expected. Check to ensure that AutoProxyRegistrar has been @Import'ed on the same class where these annotations are declared; otherwise remove the import of AutoProxyRegistrar altogether.
2021-03-02 09:36:20 |INFO  |main |RepositoryConfigurationDelegate.java:249 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Multiple Spring Data modules found, entering strict repository configuration mode!
2021-03-02 09:36:20 |INFO  |main |RepositoryConfigurationDelegate.java:127 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-03-02 09:36:20 |INFO  |main |RepositoryConfigurationDelegate.java:187 |org.springframework.data.repository.config.RepositoryConfigurationDelegate |Finished Spring Data repository scanning in 44ms. Found 0 Redis repository interfaces.
2021-03-02 09:36:22 |INFO  |main |PostProcessorRegistrationDelegate.java:335 |org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker |Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@14f9390f' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-03-02 09:36:22 |INFO  |main |PostProcessorRegistrationDelegate.java:335 |org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker |Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-03-02 09:36:24 |INFO  |main |ServletContextImpl.java:364 |io.undertow.servlet |Initializing Spring embedded WebApplicationContext
2021-03-02 09:36:24 |INFO  |main |ServletWebServerApplicationContext.java:285 |org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext |Root WebApplicationContext: initialization completed in 18298 ms
2021-03-02 09:36:30 |INFO  |main |QuartzInitializerListener.java:147 |org.quartz.ee.servlet.QuartzInitializerListener |Quartz Initializer Servlet loaded, initializing Scheduler...
2021-03-02 09:36:30 |INFO  |main |StdSchedulerFactory.java:1172 |org.quartz.impl.StdSchedulerFactory |Using default implementation for ThreadExecutor
2021-03-02 09:36:30 |INFO  |main |SimpleThreadPool.java:268 |org.quartz.simpl.SimpleThreadPool |Job execution threads will use class loader of thread: main
2021-03-02 09:36:30 |INFO  |main |SchedulerSignalerImpl.java:61 |org.quartz.core.SchedulerSignalerImpl |Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
2021-03-02 09:36:30 |INFO  |main |QuartzScheduler.java:240 |org.quartz.core.QuartzScheduler |Quartz Scheduler v.2.2.3 created.
2021-03-02 09:36:30 |INFO  |main |RAMJobStore.java:155 |org.quartz.simpl.RAMJobStore |RAMJobStore initialized.
2021-03-02 09:36:30 |INFO  |main |QuartzScheduler.java:305 |org.quartz.core.QuartzScheduler |Scheduler meta-data: Quartz Scheduler (v2.2.3) 'DefaultQuartzScheduler' with instanceId 'NON_CLUSTERED'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 10 threads.
  Using job-store 'org.quartz.simpl.RAMJobStore' - which does not support persistence. and is not clustered.

2021-03-02 09:36:30 |INFO  |main |StdSchedulerFactory.java:1327 |org.quartz.impl.StdSchedulerFactory |Quartz scheduler 'DefaultQuartzScheduler' initialized from default resource file in Quartz package: 'quartz.properties'
2021-03-02 09:36:30 |INFO  |main |StdSchedulerFactory.java:1331 |org.quartz.impl.StdSchedulerFactory |Quartz scheduler version: 2.2.3
2021-03-02 09:36:30 |INFO  |main |QuartzScheduler.java:575 |org.quartz.core.QuartzScheduler |Scheduler DefaultQuartzScheduler_$_NON_CLUSTERED started.
2021-03-02 09:36:30 |INFO  |main |QuartzInitializerListener.java:199 |org.quartz.ee.servlet.QuartzInitializerListener |Scheduler has been started...
2021-03-02 09:36:30 |INFO  |main |QuartzInitializerListener.java:217 |org.quartz.ee.servlet.QuartzInitializerListener |Storing the Quartz Scheduler Factory in the servlet context at key: org.quartz.impl.StdSchedulerFactory.KEY
2021-03-02 09:36:32 |INFO  |main |TestController.java:35 |com.river.site.controller.publics.TestController |线程池初始化
2021-03-02 09:36:32 |INFO  |main |TestController.java:56 |com.river.site.controller.publics.TestController |线程池初始化完了
2021-03-02 09:36:33 |INFO  |main |StdSchedulerFactory.java:1172 |org.quartz.impl.StdSchedulerFactory |Using default implementation for ThreadExecutor
2021-03-02 09:36:33 |INFO  |main |SimpleThreadPool.java:268 |org.quartz.simpl.SimpleThreadPool |Job execution threads will use class loader of thread: main
2021-03-02 09:36:33 |INFO  |main |SchedulerSignalerImpl.java:61 |org.quartz.core.SchedulerSignalerImpl |Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
2021-03-02 09:36:33 |INFO  |main |QuartzScheduler.java:240 |org.quartz.core.QuartzScheduler |Quartz Scheduler v.2.2.3 created.
2021-03-02 09:36:33 |INFO  |main |ShutdownHookPlugin.java:120 |org.quartz.plugins.management.ShutdownHookPlugin |Registering Quartz shutdown hook.
2021-03-02 09:36:33 |INFO  |main |HikariDataSource.java:110 |com.zaxxer.hikari.HikariDataSource |HikariPool-1 - Starting...
2021-03-02 09:36:33 |INFO  |main |HikariDataSource.java:123 |com.zaxxer.hikari.HikariDataSource |HikariPool-1 - Start completed.
2021-03-02 09:36:33 |INFO  |main |JobStoreSupport.java:667 |org.springframework.scheduling.quartz.LocalDataSourceJobStore |Using db table-based data access locking (synchronization).
2021-03-02 09:36:33 |INFO  |main |JobStoreCMT.java:145 |org.springframework.scheduling.quartz.LocalDataSourceJobStore |JobStoreCMT initialized.
2021-03-02 09:36:33 |INFO  |main |QuartzScheduler.java:305 |org.quartz.core.QuartzScheduler |Scheduler meta-data: Quartz Scheduler (v2.2.3) 'schedulerFactoryBean' with instanceId 'DESKTOP-AFTLI5O1614648993049'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 20 threads.
  Using job-store 'org.springframework.scheduling.quartz.LocalDataSourceJobStore' - which supports persistence. and is clustered.

2021-03-02 09:36:33 |INFO  |main |StdSchedulerFactory.java:1327 |org.quartz.impl.StdSchedulerFactory |Quartz scheduler 'schedulerFactoryBean' initialized from an externally provided properties instance.
2021-03-02 09:36:33 |INFO  |main |StdSchedulerFactory.java:1331 |org.quartz.impl.StdSchedulerFactory |Quartz scheduler version: 2.2.3
2021-03-02 09:36:33 |INFO  |main |QuartzScheduler.java:2311 |org.quartz.core.QuartzScheduler |JobFactory set to: com.river.site.quartz.JobFactory@34a97744
2021-03-02 09:36:38 |INFO  |main |EndpointLinksResolver.java:58 |org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver |Exposing 2 endpoint(s) beneath base path '/actuator'
2021-03-02 09:36:40 |INFO  |main |DefaultSecurityFilterChain.java:43 |org.springframework.security.web.DefaultSecurityFilterChain |Creating filter chain: Ant [pattern='/css/**'], []
2021-03-02 09:36:40 |INFO  |main |DefaultSecurityFilterChain.java:43 |org.springframework.security.web.DefaultSecurityFilterChain |Creating filter chain: OrRequestMatcher [requestMatchers=[Ant [pattern='/oauth/token'], Ant [pattern='/oauth/token_key'], Ant [pattern='/oauth/check_token']]], [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5af5def9, org.springframework.security.web.context.SecurityContextPersistenceFilter@27dc79f7, org.springframework.security.web.header.HeaderWriterFilter@7bd69e82, org.springframework.security.web.authentication.logout.LogoutFilter@42deb43a, org.springframework.security.oauth2.provider.client.ClientCredentialsTokenEndpointFilter@2b27cc70, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@6e9c413e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3aaf4f07, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@18e8473e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3a45c42a, org.springframework.security.web.session.SessionManagementFilter@51b01960, org.springframework.security.web.access.ExceptionTranslationFilter@4ced35ed, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@3301500b]
2021-03-02 09:36:40 |INFO  |main |DefaultSecurityFilterChain.java:43 |org.springframework.security.web.DefaultSecurityFilterChain |Creating filter chain: org.springframework.security.oauth2.config.annotation.web.configuration.ResourceServerConfiguration$NotOAuthRequestMatcher@50b0bc4c, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@c20be82, org.springframework.security.web.context.SecurityContextPersistenceFilter@70f43b45, org.springframework.security.web.header.HeaderWriterFilter@32c0915e, org.springframework.security.web.authentication.logout.LogoutFilter@2c282004, org.springframework.security.oauth2.provider.authentication.OAuth2AuthenticationProcessingFilter@7bfc3126, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@26d10f2e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@10ad20cb, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@13c612bd, org.springframework.security.web.session.SessionManagementFilter@106faf11, org.springframework.security.web.access.ExceptionTranslationFilter@33aa93c, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@19868320]
2021-03-02 09:36:40 |INFO  |main |DefaultSecurityFilterChain.java:43 |org.springframework.security.web.DefaultSecurityFilterChain |Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3fc08eec, org.springframework.security.web.context.SecurityContextPersistenceFilter@11963225, org.springframework.security.web.header.HeaderWriterFilter@e041f0c, org.springframework.security.web.authentication.logout.LogoutFilter@61a5b4ae, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@5b69fd74, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3f3c966c, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@11ee02f8, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5cad8b7d, org.springframework.security.web.session.SessionManagementFilter@6a175569, org.springframework.security.web.access.ExceptionTranslationFilter@3d526ad9, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@315df4bb]
